Cultivar,BugType,RelativeAbundance,Species,Flower Type 2,Flower Shape,Inflorescence Type
Baby Lace,Hymenoptera,11,Hydrangea paniculata,Lacy panicle,Lacy,Open
Bella Anna,Hymenoptera,0,Hydrangea arborescens,Mop,Mop,Half-open
Berry White,Hymenoptera,2,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Big Ben,Hymenoptera,15,Hydrangea paniculata,Lacy panicle,Lacy,Dense
Bobo,Hymenoptera,7,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Bounty,Hymenoptera,6,Hydrangea arborescens,Mop,Mop,Half-open
Brussels Lace,Hymenoptera,34,Hydrangea paniculata,Lacy panicle,Lacy,Open
Candy Apple,Hymenoptera,10.66666667,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Daimond Rogue,Hymenoptera,9,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Dharuma,Hymenoptera,29,Hydrangea paniculata,Lacy panicle,Lacy,Open
Dolly,Hymenoptera,16,Hydrangea paniculata,Lacy panicle,Lacy,Dense
Early Evolution,Hymenoptera,0.5,Hydrangea paniculata,Lacy panicle,Lacy,Dense
Fire & Ice,Hymenoptera,23,Hydrangea paniculata,Lacy panicle,Lacy,Open
Fire Light,Hymenoptera,13.33333333,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Floribunda,Hymenoptera,16,Hydrangea paniculata,Lacy panicle,Lacy,Open
Great Star,Hymenoptera,21,Hydrangea paniculata,Lacy panicle,Lacy,Very dense
Green Spire,Hymenoptera,79,Hydrangea paniculata,Lacy panicle,Lacy,Open
Haas Halo,Hymenoptera,30,Hydrangea arborescens,Lacy,Lacy,Open
Hayes Starburst,Hymenoptera,0,Hydrangea arborescens,Mop,Mop,Very dense
Honey Comb,Hymenoptera,48,Hydrangea paniculata,Lacy panicle,Lacy,Open
Incrediball,Hymenoptera,2.25,Hydrangea arborescens,Mop,Mop,Dense
Invincibelle Ruby,Hymenoptera,2,Hydrangea arborescens,Mop,Mop,Very dense
Invincibelle Mini Mauvette,Hymenoptera,0,Hydrangea arborescens,Mop,Mop,Dense
Invincibelle Spirit II,Hymenoptera,1.5,Hydrangea arborescens,Mop,Mop,Dense
Invincibelle Wee White,Hymenoptera,0,Hydrangea arborescens,Mop,Mop,Dense
Kyushu,Hymenoptera,41,Hydrangea paniculata,Lacy panicle,Lacy,Open
Lime Rickey,Hymenoptera,0,Hydrangea arborescens,Mop,Mop,Half-open
Limelight,Hymenoptera,18,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Limelight Prime,Hymenoptera,3,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Little Lamb,Hymenoptera,18,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Little Lime,Hymenoptera,1.5,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Little Lime Punch,Hymenoptera,5,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Little Quick Fire,Hymenoptera,13,Hydrangea paniculata,Lacy panicle,Lacy,Open
Mega Pearl,Hymenoptera,24,Hydrangea paniculata,Mop-like panicle,Mop,Dense
