,Trademark.Cultivar,Month,DaysinMonth,DaysRecordedInsectsPresent,DaysRecordedBlooming,AvgDaysInsects,AvgDaysBlooming,FirstDay20197.17.2019,LastDay2019,DaysPossible2019,FirstDay2020,LastDay2020,DaysPossible2020,FirstDay2021,LastDay2021(only surveyed til8/19/2021),DaysPossible2021,Color,Flower type,Notes
56,Mega Pearl,October,30,1,42,0.333333333,21,10/1/2019,10/19/2019,18,10/1/2020,10/25/2020,24,,,0,Pink-white,Mop-like panicle,
57,Phantom,August,31,6,19,2,6.333333333,,,0,8/19/2020,8/31/2020,12,8/12/2021,8/19/2021,7,White,Mop-like panicle,
58,Phantom,September,30,2,15,0.666666667,5,9/5/2019,9/19/2019,14,9/1/2020,9/2/2020,1,,,0,White,Mop-like panicle,
59,Pillow Talk,August,31,1,3,0.333333333,1,,,0,8/28/2020,8/31/2020,3,,,0,Pink-white,Mop-like panicle,Had to calculate this by hand
,Pillow Talk,September,30,0,29,0,9.666666667,,,0,9/1/2020,9/30/2020,29,,,0,,,
60,Pillow Talk,October,30,1,13,0.333333333,6.5,,,0,10/1/2020,10/14/2020,13,,,0,Pink-white,Mop-like panicle,
61,Pink Diamond,August,31,12,37,4,12.33333333,8/23/2019,8/31/2019,8,8/19/2020,8/31/2020,12,8/2/2021,8/19/2021,17,Pink,Lacy panicle,
62,Pink Diamond,September,30,4,53,1.333333333,17.66666667,9/1/2019,9/30/2019,29,9/1/2020,9/25/2020,24,,,0,Pink,Lacy panicle,
63,Pink Diamond,October,30,1,18,0.333333333,9,10/1/2019,10/19/2019,18,,,0,,,0,Pink,Lacy panicle,
64,Pink Lady,August,31,1,1,0.333333333,0.333333333,,,0,8/30/2020,8/31/2020,1,,,0,Pink-white,Mop-like panicle,Did by hand
