original_image_file,cropped_image_file,det_num,det_confidence,species1,prob1,species2,prob2,species3,prob3,entropy,classification_precision
Braatz_images\20-07-10_done\A11\Q7106705.JPG,Q7106705_1.jpg,1,0.7900,Apis_cerana,45.2,Apis_mellifera,31.1,Apis_dorsata,22.4,1.1614,0.9488
Braatz_images\20-07-10_done\A11\Q7106706.JPG,Q7106706_1.jpg,1,0.7734,Syrphidae,51.3,Diptera,47.1,Coleoptera,1.4,0.7725,0.9836
Braatz_images\20-07-10_done\A11\Q7106706.JPG,Q7106706_2.jpg,2,0.3834,Apis_mellifera,99.1,Apis_cerana,0.8,Colletes_inaequalis,0.1,0.0594,0.9707
Braatz_images\20-07-10_done\A11\Q7106707.JPG,Q7106707_1.jpg,1,0.7843,Diptera,61.8,Syrphidae,29.6,Bombus_vagans_sandersoni,2.1,1.0899,0.9755
Braatz_images\20-07-10_done\A11\Q7106708.JPG,Q7106708_1.jpg,1,0.8149,Diptera,82.0,Syrphidae,17.5,Coleoptera,0.5,0.5016,0.9755
Braatz_images\20-07-10_done\A11\Q7106709.JPG,Q7106709_1.jpg,1,0.7843,Diptera,98.8,Syrphidae,1.2,Coleoptera,0.0,0.0684,0.9755
Braatz_images\20-07-10_done\A11\Q7106710.JPG,Q7106710_1.jpg,1,0.6961,Apis_mellifera,99.3,Bombus_rufocinctus,0.2,Osmia_bicornis,0.1,0.0651,0.9707
Braatz_images\20-07-10_done\A11\Q7106711.JPG,Q7106711_1.jpg,1,0.6946,Agapostemon_splendens,25.0,Syrphidae,23.8,Coleoptera,14.8,2.2337,0.9058
Braatz_images\20-07-10_done\A11\Q7106711.JPG,Q7106711_2.jpg,2,0.4899,Apis_mellifera,98.0,Apis_cerana,0.8,Osmia_bicornis,0.4,0.1476,0.9707
Braatz_images\20-07-10_done\A11\Q7106712.JPG,Q7106712_1.jpg,1,0.7172,Apis_mellifera,99.4,Apis_cerana,0.2,Osmia_bicornis,0.1,0.0544,0.9707
Braatz_images\20-07-10_done\A11\Q7106712.JPG,Q7106712_2.jpg,2,0.6574,Halictus_rubicundus,71.9,Halictus_ligatus,12.3,Halictus,11.0,0.9643,0.8679
Braatz_images\20-07-10_done\A11\Q7106712.JPG,Q7106712_3.jpg,3,0.4779,Syrphidae,67.5,Hylaeus_leptocephalus,31.0,Meliponini,0.6,0.7156,0.9836
Braatz_images\20-07-10_done\A11\Q7106713.JPG,Q7106713_1.jpg,1,0.7603,Bombus_perplexus,88.4,Xylocopa,9.3,Centris,0.9,0.4709,0.9607
Braatz_images\20-07-10_done\A11\Q7106713.JPG,Q7106713_2.jpg,2,0.2391,Augochlora,81.6,Lasioglossum,15.1,Halictus_tripartitus,0.9,0.6288,0.9524
Braatz_images\20-07-10_done\A11\Q7106714.JPG,Q7106714_1.jpg,1,0.5569,Hylaeus_leptocephalus,82.7,Chelostoma,4.9,Hylaeus,4.0,0.7803,0.8440
Braatz_images\20-07-10_done\A11\Q7106715.JPG,Q7106715_1.jpg,1,0.6427,Halictus_ligatus,99.3,Halictus_rubicundus,0.3,Lasioglossum,0.2,0.0530,0.9442
Braatz_images\20-07-10_done\A11\Q7106716.JPG,Q7106716_1.jpg,1,0.2295,Bombus_diversus,15.3,Agapostemon_splendens,9.2,Anthidium_florentinum,8.0,3.6931,0.9324
Braatz_images\20-07-10_done\A11\Q7106716.JPG,Q7106716_2.jpg,2,0.2261,Coleoptera,17.1,Xylocopa_latipes,16.1,Xylocopa,6.5,3.6432,0.9916
Braatz_images\20-07-10_done\A11\Q7106717.JPG,Q7106717_1.jpg,1,0.2906,Halictus_tripartitus,83.4,Meliponini,7.7,Lasioglossum,4.6,0.6496,0.7959
Braatz_images\20-07-10_done\A11\Q7106717.JPG,Q7106717_2.jpg,2,0.2162,Syrphidae,99.8,Anthidium_florentinum,0.1,Coleoptera,0.0,0.0230,0.9836
Braatz_images\20-07-10_done\A11\Q7106718.JPG,Q7106718_1.jpg,1,0.7644,Diptera,99.2,Syrphidae,0.8,Coleoptera,0.0,0.0474,0.9755
Braatz_images\20-07-10_done\A11\Q7106719.JPG,Q7106719_1.jpg,1,0.7135,Diptera,99.7,Syrphidae,0.3,Coleoptera,0.0,0.0220,0.9755
Braatz_images\20-07-10_done\A11\Q7106719.JPG,Q7106719_2.jpg,2,0.6168,Halictus_tripartitus,50.3,Lasioglossum,44.2,Ceratina,1.4,0.9826,0.7959
Braatz_images\20-07-10_done\A11\Q7106720.JPG,Q7106720_1.jpg,1,0.7952,Bombus_affinis,99.6,Bombus_vagans_sandersoni,0.2,Bombus_terricola,0.1,0.0281,0.9677
Braatz_images\20-07-10_done\A11\Q7106721.JPG,Q7106721_1.jpg,1,0.8168,Bombus_affinis,100.0,Bombus_terricola,0.0,Bombus_griseocollis,0.0,0.0014,0.9677
Braatz_images\20-07-10_done\A11\Q7106722.JPG,Q7106722_1.jpg,1,0.7317,Bombus_affinis,52.1,Bombus_impatiens,36.6,Bombus_griseocollis,4.7,1.1400,0.9677
Braatz_images\20-07-10_done\A11\Q7106723.JPG,Q7106723_1.jpg,1,0.7754,Coleoptera,98.6,Syrphidae,0.9,Wasp,0.2,0.0911,0.9916
Braatz_images\20-07-10_done\A11\Q7106724.JPG,Q7106724_1.jpg,1,0.8533,Bombus_affinis,100.0,Bombus_impatiens,0.0,Bombus_terricola,0.0,0.0007,0.9677
Braatz_images\20-07-10_done\A11\Q7106724.JPG,Q7106724_2.jpg,2,0.4026,Lasioglossum,90.6,Halictus_tripartitus,4.5,Halictus,4.1,0.4078,0.9521
Braatz_images\20-07-10_done\A11\Q7106773.JPG,Q7106773_1.jpg,1,0.4205,Coleoptera,72.0,Meliponini,13.6,Hylaeus,5.4,1.1705,0.9916
Braatz_images\20-07-10_done\A11\Q7106774.JPG,Q7106774_1.jpg,1,0.7255,Syrphidae,97.9,Diptera,2.0,Meliponini,0.0,0.1045,0.9836
Braatz_images\20-07-10_done\A11\Q7106774.JPG,Q7106774_2.jpg,2,0.6566,Hylaeus_leptocephalus,53.8,Perdita,18.3,Wasp,9.8,1.4749,0.8440
Braatz_images\20-07-10_done\A11\Q7106775.JPG,Q7106775_1.jpg,1,0.6293,Hylaeus_leptocephalus,96.4,Perdita,1.7,Hylaeus,0.9,0.2068,0.8440
Braatz_images\20-07-10_done\A11\Q7106775.JPG,Q7106775_2.jpg,2,0.5830,Meliponini,78.6,Heriades,11.0,Syrphidae,2.9,0.9193,0.9634
Braatz_images\20-07-10_done\A11\Q7106775.JPG,Q7106775_3.jpg,3,0.5271,Apis_cerana,20.3,Ceylalictus,17.3,Lasioglossum,14.6,2.2628,0.9488
Braatz_images\20-07-10_done\A11\Q7106776.JPG,Q7106776_1.jpg,1,0.5238,Meliponini,73.2,Coleoptera,11.4,Syrphidae,3.4,1.1702,0.9634
Braatz_images\20-07-10_done\A9\Q7106545.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-10_done\A9\Q7106546.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-10_done\A9\Q7106547.JPG,Q7106547_1.jpg,1,0.2148,Agapostemon_splendens,41.1,Wasp,22.0,Apis_cerana,17.2,1.5575,0.9058
Braatz_images\20-07-10_done\A9\Q7106548.JPG,Q7106548_1.jpg,1,0.3561,Hylaeus_modestus,33.9,Hylaeus,11.8,Xylocopa_latipes,5.7,2.8497,0.8886
Braatz_images\20-07-10_done\A9\Q7106549.JPG,NA,NA,,,,,,,,,
Braatz_images\20-07-10_done\B20-1\Q7106681.JPG,Q7106681_1.jpg,1,0.4226,Lepidoptera,39.4,Coelioxys,27.5,Meliponini,16.7,1.6862,0.9686
Braatz_images\20-07-10_done\B20-1\Q7106681.JPG,Q7106681_2.jpg,2,0.3245,Ceylalictus,95.1,Augochlora,2.4,Agapostemon,0.8,0.2770,0.9444
Braatz_images\20-07-10_done\B5\Q7106610.JPG,Q7106610_1.jpg,1,0.3716,Ceylalictus,49.6,Coleoptera,22.0,Ceratina,9.8,1.6772,0.9444
